eepsilon =0.1
psilon=0.75 
Epoch 186/350 | Train NLL: -47.2152 | Test NLL (best arm 32): -44.1604 | Bandit epsilon: 0.7500
Epoch 187/350 | Train NLL: -41.3555 | Test NLL (best arm 32): -42.6114 | Bandit epsilon: 0.7500
Epoch 188/350 | Train NLL: -39.5967 | Test NLL (best arm 32): -36.8544 | Bandit epsilon: 0.7500
Epoch 189/350 | Train NLL: -45.3020 | Test NLL (best arm 32): -42.2998 | Bandit epsilon: 0.7500
Epoch 190/350 | Train NLL: -42.1621 | Test NLL (best arm 32): -35.5269 | Bandit epsilon: 0.7500
Epoch 191/350 | Train NLL: -43.0250 | Test NLL (best arm 32): -40.2268 | Bandit epsilon: 0.7500
Epoch 192/350 | Train NLL: -43.2220 | Test NLL (best arm 32): -42.2549 | Bandit epsilon: 0.7500
Epoch 193/350 | Train NLL: -48.3791 | Test NLL (best arm 32): -44.8097 | Bandit epsilon: 0.7500
Epoch 194/350 | Train NLL: -40.3134 | Test NLL (best arm 32): -43.1340 | Bandit epsilon: 0.7500
Epoch 195/350 | Train NLL: -42.1573 | Test NLL (best arm 32): -43.5208 | Bandit epsilon: 0.7500
Epoch 196/350 | Train NLL: -50.0577 | Test NLL (best arm 32): -45.6155 | Bandit epsilon: 0.7500
Epoch 197/350 | Train NLL: -46.5101 | Test NLL (best arm 32): -44.0457 | Bandit epsilon: 0.7500
Epoch 198/350 | Train NLL: -48.4907 | Test NLL (best arm 32): -43.2315 | Bandit epsilon: 0.7500
Epoch 199/350 | Train NLL: -43.8081 | Test NLL (best arm 32): -40.8851 | Bandit epsilon: 0.7500
Epoch 200/350 | Train NLL: -49.7438 | Test NLL (best arm 32): -45.4183 | Bandit epsilon: 0.7500
Epoch 201/350 | Train NLL: -43.7729 | Test NLL (best arm 32): -39.9781 | Bandit epsilon: 0.7500
Epoch 202/350 | Train NLL: -43.4806 | Test NLL (best arm 32): -39.2830 | Bandit epsilon: 0.7500
Epoch 203/350 | Train NLL: -42.2333 | Test NLL (best arm 32): -38.6019 | Bandit epsilon: 0.7500
Epoch 204/350 | Train NLL: -43.1625 | Test NLL (best arm 32): -36.0934 | Bandit epsilon: 0.7500
Epoch 205/350 | Train NLL: -43.0799 | Test NLL (best arm 32): -41.4863 | Bandit epsilon: 0.7500
Epoch 206/350 | Train NLL: -43.2010 | Test NLL (best arm 32): -42.0657 | Bandit epsilon: 0.7500
Epoch 207/350 | Train NLL: -43.3629 | Test NLL (best arm 32): -43.6279 | Bandit epsilon: 0.7500
Epoch 208/350 | Train NLL: -44.6084 | Test NLL (best arm 32): -39.5307 | Bandit epsilon: 0.7500
Epoch 209/350 | Train NLL: -45.6692 | Test NLL (best arm 32): -41.4666 | Bandit epsilon: 0.7500
Epoch 210/350 | Train NLL: -47.4602 | Test NLL (best arm 32): -42.1451 | Bandit epsilon: 0.7500
Epoch 211/350 | Train NLL: -47.8548 | Test NLL (best arm 32): -45.0733 | Bandit epsilon: 0.7500
Epoch 212/350 | Train NLL: -45.7983 | Test NLL (best arm 32): -40.3068 | Bandit epsilon: 0.7500
Epoch 213/350 | Train NLL: -43.8073 | Test NLL (best arm 32): -36.3495 | Bandit epsilon: 0.7500
Epoch 214/350 | Train NLL: -47.5499 | Test NLL (best arm 32): -38.2672 | Bandit epsilon: 0.7500
Epoch 215/350 | Train NLL: -45.7782 | Test NLL (best arm 32): -32.8210 | Bandit epsilon: 0.7500
Epoch 216/350 | Train NLL: -41.5871 | Test NLL (best arm 32): -39.4942 | Bandit epsilon: 0.7500
Epoch 217/350 | Train NLL: -47.7249 | Test NLL (best arm 32): -37.0476 | Bandit epsilon: 0.7500
Epoch 218/350 | Train NLL: -43.0190 | Test NLL (best arm 32): -38.6441 | Bandit epsilon: 0.7500
Epoch 219/350 | Train NLL: -48.1345 | Test NLL (best arm 32): -40.6773 | Bandit epsilon: 0.7500
Epoch 220/350 | Train NLL: -45.2404 | Test NLL (best arm 32): -42.0343 | Bandit epsilon: 0.7500
Epoch 221/350 | Train NLL: -45.5454 | Test NLL (best arm 32): -41.9197 | Bandit epsilon: 0.7500
Epoch 222/350 | Train NLL: -50.5609 | Test NLL (best arm 32): -43.0750 | Bandit epsilon: 0.7500
Epoch 223/350 | Train NLL: -47.2363 | Test NLL (best arm 32): -40.3239 | Bandit epsilon: 0.7500
Epoch 224/350 | Train NLL: -48.6265 | Test NLL (best arm 32): -44.9023 | Bandit epsilon: 0.7500
Epoch 225/350 | Train NLL: -53.3437 | Test NLL (best arm 32): -49.3231 | Bandit epsilon: 0.7500
Epoch 226/350 | Train NLL: -49.7785 | Test NLL (best arm 32): -48.0708 | Bandit epsilon: 0.7500
Epoch 227/350 | Train NLL: -53.8154 | Test NLL (best arm 32): -48.9558 | Bandit epsilon: 0.7500
Epoch 228/350 | Train NLL: -50.2870 | Test NLL (best arm 32): -47.7235 | Bandit epsilon: 0.7500
Epoch 229/350 | Train NLL: -57.6882 | Test NLL (best arm 32): -50.9330 | Bandit epsilon: 0.7500
Epoch 230/350 | Train NLL: -51.4389 | Test NLL (best arm 32): -49.9231 | Bandit epsilon: 0.7500
Epoch 231/350 | Train NLL: -57.0939 | Test NLL (best arm 32): -51.4108 | Bandit epsilon: 0.7500
Epoch 232/350 | Train NLL: -49.0964 | Test NLL (best arm 32): -46.1777 | Bandit epsilon: 0.7500
Epoch 233/350 | Train NLL: -49.5424 | Test NLL (best arm 32): -46.5775 | Bandit epsilon: 0.7500
Epoch 234/350 | Train NLL: -57.2133 | Test NLL (best arm 32): -51.6691 | Bandit epsilon: 0.7500
Epoch 235/350 | Train NLL: -55.4756 | Test NLL (best arm 32): -50.3472 | Bandit epsilon: 0.7500
Epoch 236/350 | Train NLL: -53.2650 | Test NLL (best arm 32): -50.7106 | Bandit epsilon: 0.7500
Epoch 237/350 | Train NLL: -48.8033 | Test NLL (best arm 32): -43.8822 | Bandit epsilon: 0.7500
Epoch 238/350 | Train NLL: -49.9939 | Test NLL (best arm 32): -50.1407 | Bandit epsilon: 0.7500
Epoch 239/350 | Train NLL: -49.3891 | Test NLL (best arm 32): -42.3126 | Bandit epsilon: 0.7500
Epoch 240/350 | Train NLL: -48.3532 | Test NLL (best arm 32): -43.5097 | Bandit epsilon: 0.7500
Epoch 241/350 | Train NLL: -48.9781 | Test NLL (best arm 32): -26.5792 | Bandit epsilon: 0.7500
Epoch 242/350 | Train NLL: -51.6021 | Test NLL (best arm 32): -49.0664 | Bandit epsilon: 0.7500
Epoch 243/350 | Train NLL: -50.4592 | Test NLL (best arm 32): -46.5747 | Bandit epsilon: 0.7500
